City,Country,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed,Hemisphere
Krasnaya Zarya,RU,52.78,37.68,49.06,91,22,8.81,Northern
Gallatin,US,45.67,-111.2,45.99,53,90,5.82,Northern
Liebenstein,DE,50.77,10.85,67.66,40,99,9.17,Northern
Swanport,AU,-35.15,139.3,50.0,87,53,3.0,Southern
Uyut,RU,55.95,50.29,61.95,63,19,2.51,Northern
Yarmouth,CA,43.83,-66.12,43.23,87,90,24.16,Northern
Ballin,DE,53.45,13.43,66.99,58,61,1.99,Northern
Bamaga,AU,-10.89,142.39,78.8,83,90,12.75,Southern
Köngen,DE,48.68,9.37,70.25,49,43,10.29,Northern
Wan Yai,TH,16.72,104.74,88.03,54,94,3.78,Northern
Nagyoroszi,HU,48.01,19.09,72.5,36,85,1.01,Northern
Montegiorgio,IT,43.13,13.54,69.31,51,44,1.99,Northern
‘Azzūn,PS,32.17,35.06,68.9,73,40,6.93,Northern
el Pla del Penedès,ES,41.42,1.72,65.26,81,30,3.0,Northern
Taourirt,MA,34.41,-2.9,71.6,56,40,11.41,Northern
Sanad,RS,45.98,20.11,70.11,54,89,2.06,Northern
Ain Fakroun,DZ,35.97,6.88,73.2,68,75,5.82,Northern
Elmore,AU,-36.5,144.6,39.47,94,0,8.57,Southern
Buckley,US,47.16,-122.03,75.31,31,59,4.03,Northern
Dimbokro,CI,6.65,-4.7,91.33,58,43,1.45,Northern
Ickenham,GB,51.56,-0.44,71.67,31,90,12.75,Northern
Abryudkovo,RU,55.38,39.15,57.2,62,20,6.71,Northern
Cibitung,ID,-7.12,107.13,69.71,98,100,2.15,Southern
Glaine-Montaigut,FR,45.76,3.39,75.2,44,92,10.29,Northern
Demyansk,RU,57.64,32.47,52.54,79,87,3.87,Northern
Yeola,IN,20.03,74.48,85.64,31,44,11.92,Northern
Rippersroda,DE,50.77,10.87,67.64,40,98,9.17,Northern
Sareptskiy Perekat,RU,48.57,44.6,51.4,76,20,8.95,Northern
Plovdiv,BG,42.15,24.75,71.67,40,41,4.7,Northern
Thermopolis,US,43.65,-108.21,43.97,56,90,8.05,Northern
Grão Mogol,BR,-16.56,-42.89,70.97,63,68,9.73,Southern
Notre-Dame-du-Touchet,FR,48.58,-0.96,65.52,88,99,4.7,Northern
Kara-Kulja,KG,40.63,73.59,46.0,34,87,4.0,Northern
Xinlong,CN,25.2,114.6,75.04,89,100,3.85,Northern
Blignicourt,FR,48.46,4.53,73.15,53,68,3.36,Northern
Garbayuela,ES,39.05,-5.0,67.55,54,82,8.39,Northern
Valla,SE,63.55,13.8,44.01,69,74,10.69,Northern
Waarschoot,BE,51.15,3.61,70.45,43,43,13.87,Northern
Freneuse,FR,49.05,1.6,66.96,89,100,3.83,Northern
Placitas,US,35.31,-106.42,69.58,20,0,15.01,Northern
Lakewood,AU,-30.8,121.53,46.4,45,100,4.7,Southern
Kawitan,ID,-7.51,108.27,74.37,96,98,1.45,Southern
Yabutani,JP,34.8,134.47,63.0,97,100,3.0,Northern
Québec,CA,46.81,-71.21,42.39,35,90,10.29,Northern
Sonsbeck,DE,51.62,6.37,74.73,30,14,3.0,Northern
Lindenfels,DE,49.69,8.78,64.96,60,95,5.08,Northern
Canguaretama,BR,-6.38,-35.13,84.38,69,19,13.98,Southern
Sudley,US,38.79,-77.5,47.97,36,90,13.87,Northern
Bacqueville-en-Caux,FR,49.79,1.0,69.39,72,100,5.82,Northern
Verchères,CA,45.77,-73.36,43.03,48,92,5.99,Northern
Fitzen,DE,53.49,10.65,68.99,40,32,5.66,Northern
Cabasse,FR,43.43,6.22,63.41,77,84,3.36,Northern
Lignan-de-Bazas,FR,44.43,-0.28,73.11,66,77,9.06,Northern
Jever,DE,53.58,7.9,65.1,48,20,8.05,Northern
San Giovanni al Natisone,IT,45.98,13.4,67.33,55,2,5.01,Northern
Saint-Sever,FR,43.76,-0.57,77.61,57,72,8.05,Northern
Glasco,US,42.04,-73.95,43.61,51,17,16.82,Northern
Haizhou,CN,34.58,119.13,60.84,76,91,5.41,Northern
Borallon,AU,-27.53,152.68,62.37,93,94,3.09,Southern
Jorcas,ES,40.54,-0.75,68.81,43,94,12.75,Northern
Pozos de Hinojo,ES,40.91,-6.41,68.0,12,97,10.33,Northern
Cadalso,ES,40.24,-6.54,59.0,86,98,10.0,Northern
Roddenagh,IE,52.86,-6.37,64.99,59,24,1.01,Northern
Toledo,CO,7.31,-72.48,89.6,43,40,23.04,Northern
Tiantang,CN,34.92,107.55,48.67,57,0,4.47,Northern
Medinilla,ES,40.44,-5.62,54.0,88,84,12.17,Northern
Malaya Vishera,RU,58.85,32.22,51.69,53,50,6.91,Northern
Twin Grove,US,40.49,-89.08,51.39,27,1,5.82,Northern
Gongli,CN,34.83,109.14,50.0,93,0,4.47,Northern
Shanshi,CN,27.29,114.06,70.66,90,98,3.02,Northern
Alappuzha,IN,9.49,76.33,84.69,81,100,5.37,Northern
Kavala,GR,40.94,24.4,64.47,68,22,8.05,Northern
Gata,ES,40.24,-6.6,59.0,86,96,10.0,Northern
Başçiftlik,TR,40.55,37.17,38.44,88,90,3.6,Northern
Burgstall,IT,46.61,11.19,77.0,33,40,12.75,Northern
Thon Buri,TH,13.72,100.49,86.79,71,100,1.01,Northern
Znamenka,RU,52.42,41.43,53.69,80,100,4.5,Northern
Asia,PH,9.55,122.52,81.46,75,83,3.24,Northern
Aldridge,GB,52.61,-1.92,69.22,46,71,5.99,Northern
Oppido Mamertina,IT,38.29,15.98,62.94,25,21,1.19,Northern
Ambel,ES,41.79,-1.62,70.11,72,90,5.82,Northern
Corinto,BR,-18.38,-44.46,75.51,52,31,3.83,Southern
Departamento del Huila,CO,2.5,-75.75,81.97,53,26,5.19,Northern
Jurançon,FR,43.29,-0.39,72.63,60,72,11.41,Northern
Cropalati,IT,39.52,16.73,73.53,48,0,1.48,Northern
Taquaritinga,BR,-21.41,-48.5,75.2,57,0,5.26,Southern
Skoki,PL,52.67,17.16,68.65,40,5,4.0,Northern
Newark on Trent,GB,53.07,-0.82,70.79,52,58,14.99,Northern
Niedertaufkirchen,DE,48.33,12.55,75.7,56,65,3.24,Northern
Wattrelos,FR,50.7,3.22,76.96,33,60,3.36,Northern
Le Buisson-de-Cadouin,FR,44.85,0.92,73.13,56,43,8.05,Northern
Matchino,RU,55.25,37.79,55.26,58,75,6.71,Northern
Cihonje,ID,-7.19,108.19,72.93,90,100,1.95,Southern
Qiryat Arba‘,PS,31.53,35.12,61.09,73,0,17.2,Northern
San Juan del Cesar,CO,10.77,-73.0,93.2,56,20,3.36,Northern
Orleans,US,43.25,-78.23,38.61,57,99,1.99,Northern
Radnevo,BG,42.3,25.93,73.4,35,20,4.7,Northern
Leciñena,ES,41.86,-0.65,72.64,54,63,11.86,Northern
Niami Kalag,PK,25.85,63.46,81.23,36,0,4.25,Northern
Torralba de los Frailes,ES,41.04,-1.66,65.53,82,92,10.29,Northern
Gol’yanovo,RU,55.82,37.82,57.9,54,75,4.47,Northern
Andelat,FR,45.06,3.06,62.67,59,80,12.75,Northern
Tetiiv,UA,49.38,29.66,52.5,72,32,2.89,Northern
Compton,AU,-37.77,140.68,42.8,81,29,6.93,Southern
Kijingan,ID,-6.75,111.12,76.68,90,100,5.77,Southern
Capital Region,DK,55.83,12.33,60.37,43,50,1.01,Northern
Phulpur,IN,25.55,82.1,94.03,16,7,10.0,Northern
Rock Hill,US,34.92,-81.03,58.23,47,20,5.82,Northern
Riva,US,38.95,-76.58,47.75,38,19,3.0,Northern
Villafruela,ES,41.92,-3.91,66.52,63,40,14.99,Northern
Varshavka,RU,54.38,56.11,71.6,37,40,8.95,Northern
Azmannsdorf,DE,50.98,11.1,67.64,40,98,9.17,Northern
Neuenkirchen,DE,52.24,7.37,74.53,27,0,3.36,Northern
Philo,US,40.01,-88.16,51.8,29,1,12.75,Northern
Lödderitz,DE,51.88,11.95,71.02,32,100,5.82,Northern
Saint-Martin-des-Olmes,FR,45.53,3.8,67.71,49,100,16.11,Northern
Baarleveld,BE,51.05,3.61,75.22,35,46,7.78,Northern
Saint-Priest-en-Jarez,FR,45.47,4.37,68.0,49,100,16.11,Northern
Michałowice,PL,52.17,20.89,67.96,37,64,3.36,Northern
Clarendon,US,34.94,-100.89,62.91,37,0,12.41,Northern
Tunoshna,RU,57.55,40.13,59.0,54,91,6.91,Northern
Ondarroa,ES,43.32,-2.42,64.67,86,86,5.99,Northern
Bad Kohlgrub,DE,47.67,11.05,67.42,49,55,8.05,Northern
Mayskiy,RU,47.69,40.1,50.0,87,40,13.42,Northern
Pestovo,RU,58.59,35.8,51.76,69,10,3.02,Northern
Merlin,US,42.52,-123.42,70.66,49,1,0.63,Northern
George Enescu,RO,48.03,26.48,63.79,55,14,2.77,Northern
Zhilino,RU,56.07,37.25,57.2,54,75,4.47,Northern
Gmina Grabica,PL,51.48,19.53,67.98,37,18,4.0,Northern
Unterwollanig,AT,46.64,13.83,64.13,55,20,6.93,Northern
Bezirk Thierstein,CH,47.38,7.55,74.93,38,26,9.17,Northern
Opopeo,MX,19.4,-101.6,73.0,47,5,4.0,Northern
Sefferweich,DE,50.07,6.52,63.81,55,1,6.93,Northern
Shelukhino,RU,55.2,38.86,56.48,62,20,6.71,Northern
Balduinstein,DE,50.35,7.97,60.33,84,98,2.3,Northern
Arija,ES,42.99,-3.94,61.34,99,100,1.99,Northern
Prösen,DE,51.43,13.5,71.82,30,100,8.05,Northern
Mamedkala,RU,42.17,48.12,54.25,85,100,2.89,Northern
Ban Chun Luang,TH,19.3,100.17,76.35,82,48,2.84,Northern
Canencia,ES,40.91,-3.74,65.03,42,40,10.29,Northern
Fruges,FR,50.52,2.13,69.57,56,80,4.7,Northern
Ruhpolding,DE,47.77,12.65,68.0,53,40,11.41,Northern
Sukawangi,ID,-7.47,107.94,69.57,100,96,2.53,Southern
Tribuswinkel,AT,48.01,16.27,74.66,44,45,5.99,Northern
Kloposawit Krajan,ID,-8.15,113.08,73.06,86,100,1.07,Southern
Norderheistedt,DE,54.25,9.15,66.49,52,20,10.29,Northern
Jeziorna Oborska,PL,52.08,21.12,67.68,37,75,3.36,Northern
Boddin,DE,53.94,12.65,66.2,48,20,4.7,Northern
Ramygala,LT,55.52,24.3,60.8,48,85,1.12,Northern
Delok,ID,-6.71,111.24,77.41,89,100,8.81,Southern
Pisang,ID,-8.47,118.76,74.44,87,68,4.5,Southern
Tanout,NE,14.97,8.89,100.06,15,40,5.97,Northern
Moundville,US,33.0,-87.63,61.52,33,1,8.05,Northern
Narathiwat,TH,6.33,101.75,84.09,89,20,3.36,Northern
Zliv,CZ,49.07,14.37,65.53,52,99,7.0,Northern
Hornstorf,DE,53.92,11.53,68.32,48,20,4.7,Northern
Adelsdorf,DE,49.48,10.68,63.88,59,20,11.41,Northern
Las Lomas,US,26.36,-98.78,69.91,77,90,12.75,Northern
Bustillo de Chaves,ES,42.13,-5.09,66.65,45,99,8.01,Northern
Bredene,BE,51.23,2.98,65.82,55,41,17.22,Northern
Dalkola,IN,25.85,87.85,86.79,25,0,7.78,Northern
Veríssimo,BR,-19.66,-48.31,77.0,38,20,9.17,Southern
Autenhausen,DE,50.23,10.78,62.94,55,97,1.01,Northern
Capim Branco,BR,-19.55,-44.12,69.73,56,75,9.17,Southern
Edithburgh,AU,-35.1,137.73,54.81,67,59,10.63,Southern
Finisterra,ES,42.9,-9.26,61.99,78,100,7.0,Northern
Pokój,PL,50.9,17.84,69.01,44,81,2.35,Northern
Tamames,ES,40.66,-6.11,62.71,55,93,17.22,Northern
Nova Gorica,SI,45.96,13.65,63.79,72,11,2.66,Northern
Liuzhi,CN,30.88,114.49,62.6,82,40,4.47,Northern
Peñarroya-Pueblonuevo,ES,38.31,-5.24,71.6,43,49,13.87,Northern
Neuville-Saint-Vaast,FR,50.35,2.77,74.97,33,76,3.36,Northern
Albany,US,42.6,-73.97,40.5,29,44,10.0,Northern
Simmersfeld,DE,48.62,8.52,70.03,56,10,9.17,Northern
